campaign_id,run_id,timestamp_host,rx_timestamp_ms,tx_timestamp_ms,inter_arrival_ms,beacon_id,seq_num,pkt_type,mod_kind,spread_factor,rssi_dbm,snr_db,freq_error_hz,payload_len,distance_m,label_sf,label_mod,mod_kind_label,label_beacon,label_pkt
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:38.893796+00:00,38300,26004,0,1,25,0,1,8,-69,12.0,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:39.901735+00:00,39301,27004,1001,1,26,0,1,8,-70,12.0,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:40.893716+00:00,40302,28004,1001,1,27,0,1,8,-70,12.0,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:41.901695+00:00,41303,29004,1001,1,28,0,1,8,-71,11.5,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:42.893675+00:00,42305,30004,1002,1,29,0,1,8,-72,10.25,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:43.901649+00:00,43306,31004,1001,1,30,0,1,8,-70,12.25,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:44.893688+00:00,44308,32004,1002,1,31,0,1,8,-75,12.0,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:45.901572+00:00,45309,33004,1001,1,32,0,1,8,-68,12.0,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:46.893621+00:00,46310,34004,1001,1,33,0,1,8,-71,12.0,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:47.901527+00:00,47311,35004,1001,1,34,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:48.893654+00:00,48312,36004,1001,1,35,0,1,8,-71,12.0,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:49.901497+00:00,49314,37004,1002,1,36,0,1,8,-71,12.25,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:50.893537+00:00,50315,38004,1001,1,37,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:51.885559+00:00,51317,39004,1002,1,38,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:52.893500+00:00,52318,40004,1001,1,39,0,1,8,-70,12.5,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:53.885552+00:00,53320,41004,1002,1,40,0,1,8,-71,11.5,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:54.893467+00:00,54321,42004,1001,1,41,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:55.885451+00:00,55323,43004,1002,1,42,0,1,8,-71,11.5,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:56.893487+00:00,56324,44004,1001,1,43,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:57.885438+00:00,57326,45004,1002,1,44,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:58.893402+00:00,58327,46004,1001,1,45,0,1,8,-71,12.0,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:56:59.885381+00:00,59328,47004,1001,1,46,0,1,8,-71,12.25,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:00.893365+00:00,60330,48004,1002,1,47,0,1,8,-71,12.0,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:01.885342+00:00,61331,49004,1001,1,48,0,1,8,-71,12.25,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:02.893330+00:00,62332,50004,1001,1,49,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:03.885324+00:00,63333,51004,1001,1,50,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:04.893235+00:00,64335,52004,1002,1,51,0,1,8,-71,11.5,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:05.885277+00:00,65336,53004,1001,1,52,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:06.893258+00:00,66338,54004,1002,1,53,0,1,8,-71,12.0,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:07.885246+00:00,67339,55004,1001,1,54,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:08.893163+00:00,68340,56004,1001,1,55,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:09.885203+00:00,69342,57004,1002,1,56,0,1,8,-71,12.0,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:10.893143+00:00,70343,58004,1001,1,57,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:11.885167+00:00,71344,59004,1001,1,58,0,1,8,-71,12.25,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:12.893099+00:00,72345,60004,1001,1,59,0,1,8,-71,11.5,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:13.885152+00:00,73346,61004,1001,1,60,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:14.877123+00:00,74348,62004,1002,1,61,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:15.885103+00:00,75349,63004,1001,1,62,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:16.877116+00:00,76350,64004,1001,1,63,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:17.885071+00:00,77352,65004,1002,1,64,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:18.877064+00:00,78353,66004,1001,1,65,0,1,8,-71,12.0,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:19.885049+00:00,79354,67004,1001,1,66,0,1,8,-71,11.75,5278,14,3.0,8,lora,1,1,0
C2,C2_sf08_2026-05-03T12:00:00Z,2026-05-03T18:57:20.877082+00:00,80355,68004,1001,1,67,0,1,8,-71,11.5,5278,14,3.0,8,lora,1,1,0
