campaign_id,run_id,timestamp_host,rx_timestamp_ms,tx_timestamp_ms,inter_arrival_ms,beacon_id,seq_num,pkt_type,mod_kind,spread_factor,rssi_dbm,snr_db,freq_error_hz,payload_len,distance_m,label_sf,label_mod,mod_kind_label,label_beacon,label_pkt
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:08:48.247287+00:00,38927,1004,0,1,0,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:08:48.247446+00:00,956,2004,-37971,1,1,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:08:48.247565+00:00,1957,3004,1001,1,2,0,1,7,-48,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:08:53.110839+00:00,889,1004,-1068,1,0,0,1,7,-47,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:08:54.102876+00:00,1890,2004,1001,1,1,0,1,7,-47,9.0,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:08:55.110833+00:00,2892,3004,1002,1,2,0,1,7,-47,9.75,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:08:56.102854+00:00,3893,4004,1001,1,3,0,1,7,-47,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:08:57.110767+00:00,4894,5004,1001,1,4,0,1,7,-47,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:08:58.102805+00:00,5895,6004,1001,1,5,0,1,7,-47,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:08:59.094801+00:00,6896,7004,1001,1,6,0,1,7,-47,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:00.102778+00:00,7897,8004,1001,1,7,0,1,7,-47,9.25,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:01.094765+00:00,8898,9004,1001,1,8,0,1,7,-47,9.75,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:02.102746+00:00,9899,10004,1001,1,9,0,1,7,-47,10.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:04.102703+00:00,11902,12004,2003,1,11,0,1,7,-47,10.0,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:05.094693+00:00,12903,13004,1001,1,12,0,1,7,-47,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:06.102676+00:00,13904,14004,1001,1,13,0,1,7,-47,10.0,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:07.094649+00:00,14905,15004,1001,1,14,0,1,7,-47,9.75,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:08.102582+00:00,15907,16004,1002,1,15,0,1,7,-47,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:09.094678+00:00,16908,17004,1001,1,16,0,1,7,-47,9.25,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:10.102542+00:00,17909,18004,1001,1,17,0,1,7,-47,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:11.094590+00:00,18910,19004,1001,1,18,0,1,7,-47,9.75,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:12.102508+00:00,19911,20004,1001,1,19,0,1,7,-47,9.75,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:13.094551+00:00,20912,21004,1001,1,20,0,1,7,-47,9.75,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:14.086521+00:00,21913,22004,1001,1,21,0,1,7,-47,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:15.094517+00:00,22914,23004,1001,1,22,0,1,7,-47,9.75,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:16.086498+00:00,23916,24004,1002,1,23,0,1,7,-47,10.0,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:17.094539+00:00,24917,25004,1001,1,24,0,1,7,-47,9.25,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:18.086491+00:00,25918,26004,1001,1,25,0,1,7,-47,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:19.094441+00:00,26919,27004,1001,1,26,0,1,7,-47,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:20.086441+00:00,27920,28004,1001,1,27,0,1,7,-47,9.0,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:21.094401+00:00,28921,29004,1001,1,28,0,1,7,-47,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:22.086442+00:00,29922,30004,1001,1,29,0,1,7,-47,10.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:23.094363+00:00,30924,31004,1002,1,30,0,1,7,-47,9.75,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:24.086368+00:00,31925,32004,1001,1,31,0,1,7,-47,9.75,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:25.094288+00:00,32926,33004,1001,1,32,0,1,7,-47,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:26.086333+00:00,33927,34004,1001,1,33,0,1,7,-47,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:27.094274+00:00,34929,35004,1002,1,34,0,1,7,-46,9.75,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:28.086291+00:00,35930,36004,1001,1,35,0,1,7,-48,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:29.094215+00:00,36932,37004,1002,1,36,0,1,7,-49,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:30.086249+00:00,37933,38004,1001,1,37,0,1,7,-49,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:31.078236+00:00,38934,39004,1001,1,38,0,1,7,-49,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:32.086272+00:00,39935,40004,1001,1,39,0,1,7,-48,9.0,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:33.078212+00:00,40937,41004,1002,1,40,0,1,7,-49,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:34.086175+00:00,41938,42004,1001,1,41,0,1,7,-49,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:35.078169+00:00,42939,43004,1001,1,42,0,1,7,-49,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:36.086150+00:00,43941,44004,1002,1,43,0,1,7,-49,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:37.078131+00:00,44942,45004,1001,1,44,0,1,7,-49,9.0,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:38.086173+00:00,45943,46004,1001,1,45,0,1,7,-49,9.25,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:39.078101+00:00,46945,47004,1002,1,46,0,1,7,-46,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:40.086161+00:00,47946,48004,1001,1,47,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:41.078068+00:00,48948,49004,1002,1,48,0,1,7,-45,9.75,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:42.086048+00:00,49949,50004,1001,1,49,0,1,7,-45,10.0,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:43.078085+00:00,50950,51004,1001,1,50,0,1,7,-45,9.0,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:44.085953+00:00,51951,52004,1001,1,51,0,1,7,-45,10.5,5147,14,3.0,7,lora,1,1,0
C5,C5a_2026-05-03T12:00:00Z,2026-05-03T20:09:45.078002+00:00,52953,53004,1002,1,52,0,1,7,-45,9.5,5147,14,3.0,7,lora,1,1,0
