campaign_id,run_id,timestamp_host,rx_timestamp_ms,tx_timestamp_ms,inter_arrival_ms,beacon_id,seq_num,pkt_type,mod_kind,spread_factor,rssi_dbm,snr_db,freq_error_hz,payload_len,distance_m,label_sf,label_mod,mod_kind_label,label_beacon,label_pkt
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:11.057368+00:00,53670,54004,0,1,53,0,1,7,-49,9.25,5147,14,3.0,7,lora,1,1,0
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:11.121355+00:00,53746,53770,76,2,53,1,1,7,-45,9.5,5147,14,3.0,7,lora,1,2,1
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:12.049329+00:00,54671,55004,925,1,54,0,1,7,-46,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:12.129327+00:00,54747,54769,76,2,54,1,1,7,-44,9.75,5147,14,3.0,7,lora,1,2,1
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:13.041314+00:00,55672,56004,925,1,55,0,1,7,-46,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:13.121306+00:00,55749,55768,77,2,55,1,1,7,-45,9.75,5147,14,3.0,7,lora,1,2,1
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:14.049319+00:00,56673,57004,924,1,56,0,1,7,-46,9.75,5147,14,3.0,7,lora,1,1,0
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:14.129310+00:00,56750,56768,77,2,56,1,1,7,-44,9.75,5147,14,3.0,7,lora,1,2,1
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:15.041281+00:00,57674,58004,924,1,57,0,1,7,-46,9.5,5147,14,3.0,7,lora,1,1,0
C5,C5b_2026-05-03T12:00:00Z,2026-05-03T20:16:15.121270+00:00,57751,57767,77,2,57,1,1,7,-44,9.75,5147,14,3.0,7,lora,1,2,1
